"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Ukraine","UKR","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","646000","1679000","1653000","800000","800000","730000","734000","854000","5914000","3689000",
"Ukraine","UKR","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.236476689577103","","0.214446097612381","","0.180663228034973","","0.154602363705635","0.153135433793068","0.153351604938507","0.156871914863586","0.133416771888733","0.124616965651512","0.125936701893806","0.127938911318779","0.125552281737328","0.122662872076035","0.118001364171505","0.117903985083103","0.124690741300583","0.127130463719368","0.122608855366707","0.12424573302269","0.12738923728466","0.121637180447578","0.125049471855164","0.126745909452438","0.12435869127512","0.123266227543354",
"Ukraine","UKR","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","6","","8","","10","10","10","10","12","15","15","15","15","16","16","15","13","13","13","13","13","12","11","10","10","10",
"Ukraine","UKR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.51422667582385","6.47193610653839","6.14613032578564","6.88754342926587","8.03896421995305","6.67894123051556","6.16592909585636","5.42495174066934","5.48014872729842","5.85239384495226","4.51050792257841","5.73613565623019","6.68812192869261",
"Ukraine","UKR","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4322920731","37.7711333122","37.3278778758","33.1444907761","30.3774228194","38.2209457812","42.6600571781","47.0981194483","60.4999082078","85.6770792234","89.7747003439","100.6320979631","129.2944632338","175.608886077","104.3407558701","135.0171794208","179.5577936636","179.7413905756","168.7465575445","141.3722558811","100","95.3654890247","113.4760143713","124.1534870029","131.2822933835","129.0214283531","178.5480105706","","",
"Ukraine","UKR","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0181832680421152","0.0114428953019624","0.192562871410295","0.315333725391755","0.438173144361038","1.26460442471037","1.40063780455959","1.53075760846104","1.22931348508925","1.49237640070789","1.4794253552748","1.66764043155281","1.26989355328142","1.59397240145807","1.46943689710844","1.71144699349994","1.61031168315305","1.9990453770315","1.78117711554255","1.4650915037884","1.79568000564169","2.14153288866289","2.00883339125362","1.91125022855043","1.67946598622977","2.12173886911487","2.24269196473986","2.22885655715521","1.86839740942493","","","",
"Ukraine","UKR","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6440286256241","28.8986194173449","55.2343020585979","53.2295499877219","55.2813404903928","45.3761144326493","40.7498555839552","37.0291387869631","39.9289270896705","37.3479459750786","33.2755156958324","30.5326785512426","34.1113596749869","39.8199620464173","41.7341573169577","47.2678375708633","45.1316346959348","41.822148727071","44.9357957785563","46.4876071072575","44.0656483794953","42.9202273221235","36.5041697236213","30.3008583337637","25.1051097092299","24.5439209035836","22.7277851384468","21.2724177115635","19.3536096581511","","","",
"Ukraine","UKR","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8045000000","7817000000","10305000000","13128000000","14401000000","14232000000","12637000000","11582000000","14573000000","16265000000","17957000000","23067000000","32666000000","34228000000","38368000000","49296000000","66954000000","39782000000","51478000000","68460000000","68530000000","64338000000","53901000000","38127000000","36360000000","43265000000","47336000000","50054000000","49192000000","68073000000","44134000000","36040000000",
"Ukraine","UKR","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.59107016300496","2.58591357604627","0.536524969046636","0.664117528677802","0.512135381874861","0.427542754275428","0.568057679702862","0.510964445390675","0.4617657923901","0.597539543057997","0.495224619738238","0.60993900609939","1.28062836164945","2.76910547034071","2.9413337611637","2.85892720838249","2.85972136048282","1.72179648850519","1.41767650774341","1.78023889066862","1.60471814565903","1.67185707261105","0.881747012772971","1.16245694603904","1.07492276004119","1.04931794333683","0.949014987891878","0.680723891748298","1.25790060726236","1.67576488510854",
"Ukraine","UKR","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00023585102512","1.02544553278046","1.09162099418688","1.60946716434446","1.68772388934803","1.49274906632136","1.80866158544112","1.84758175491075","1.55416295058288","1.46598141805212","1.36155186769381","1.29133902235091","0.865641316360456","1.17988645719887","1.14822640081854","1.06791087341835","0.98662678513018","1.26509342600004","1.7653939476373","2.15149127104961","2.10627209977383","1.74188322801217","2.02343434444727","1.73858574617812","1.71145057390241","1.57080477193832","1.99056988735288","2.1978986993464",
